,tx_price,beds,baths,sqft,tx_age,year_built,lot_size,basement,restaurants,groceries,nightlife,cafes,shopping,arts_entertainment,beauty_spas,active_life,median_age,married,college_grad,ins*proptax,property_tax^2,property_var,property_tax,insurance^2,insurance_var,insurance,median_school,num_schools,tx_year,property_type_Apartment / Condo / Townhouse,property_type_Single-Family,exterior_walls_Asbestos shingle,exterior_walls_Block,exterior_walls_Brick,exterior_walls_Brick veneer,exterior_walls_Combination,exterior_walls_Concrete,exterior_walls_Concrete Block,exterior_walls_Masonry,exterior_walls_Metal,exterior_walls_Other,"exterior_walls_Rock, Stone",exterior_walls_Siding (Alum/Vinyl),exterior_walls_Stucco,exterior_walls_Wood,exterior_walls_Wood Shingle,exterior_walls_Wood Siding,roof_Asbestos,roof_asphalt,roof_Asphalt,"roof_asphalt,shake-shingle",roof_Built-up,roof_composition,roof_Composition,roof_Composition Shingle,roof_Gravel/Rock,roof_Metal,roof_Other,roof_Roll Composition,roof_Shake Shingle,roof_shake-shingle,roof_Slate,roof_Wood Shake/ Shingles
29,-1.428717622,3,4,0.028131179,-0.479522027,0.198915833,28749,1,13,2,0,1,11,2,6,3,37,69,36,-0.929830865,-0.338162515,0.746032471,-0.746032471,-0.347509068,0.788009182,-0.788009182,6,3,-1.176307064,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,-1.4254156,5,2,-0.358660508,0.323805354,-0.737480451,11325,1,1,0,0,0,3,0,3,5,38,86,73,0.016770187,-0.166069758,0.180390165,-0.180390165,-0.160836265,0.157097795,-0.157097795,9,3,-1.561254266,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,-1.412207512,2,2,-0.919770304,-0.337758371,0.593187953,0,1,44,15,1,4,51,3,20,5,37,62,55,-1.892155504,-0.431512728,1.203727772,-1.203727772,-0.417185955,1.14461127,-1.14461127,4,3,0.940902548,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,-1.409565895,3,1,-0.904807377,0.560078113,-0.392492346,3994,1,36,2,1,6,22,8,18,21,28,80,22,-1.15523352,-0.374470654,0.901476158,-0.901476158,-0.362918379,0.856586506,-0.856586506,5,3,0.748428947,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,-1.409037571,2,2,-0.853933422,-1.141085752,0.888892043,0,1,24,6,4,7,29,1,19,11,31,57,95,-0.77804934,-0.329450901,0.711489429,-0.711489429,-0.317360415,0.664569997,-0.664569997,8,3,-1.176307064,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34,-1.406263873,3,2,-0.738718877,0.938114528,-0.638912421,2748,1,30,1,5,2,40,0,18,6,37,60,54,-1.808163046,-0.42153676,1.143277449,-1.143277449,-0.417185955,1.14461127,-1.14461127,4,3,1.32584975,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
35,-1.406263873,3,2,-0.66540053,1.316150943,-0.983900526,12632,1,2,1,0,1,6,0,2,2,36,75,35,-0.990615185,-0.346640261,0.780575513,-0.780575513,-0.353787644,0.815440112,-0.815440112,4,3,1.518323351,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
36,-1.406263873,3,2,-0.515771251,-0.290503819,0.100347803,1742,1,0,0,0,0,4,0,1,1,36,80,67,-0.812604653,-0.303102286,0.612178185,-0.612178185,-0.347509068,0.788009182,-0.788009182,7,3,-0.791359862,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37,-1.405603468,1,1,-1.233991791,0.890859976,-0.983900526,0,1,8,1,0,3,10,1,10,10,60,15,63,-2.482547759,-0.456607952,1.38076086,-1.38076086,-0.442319404,1.322912314,-1.322912314,4,3,-0.213939058,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38,-1.405603468,1,1,-1.135984613,0.843605424,-0.688196436,0,1,60,12,10,10,76,8,36,37,30,72,34,-2.388946436,-0.458727388,1.398032381,-1.398032381,-0.433418373,1.254334989,-1.254334989,4,3,0.748428947,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
